                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.56761,                 2.1616,                 1.1552,                0.50764,                0.53822,                0.44333,                0.41349,                 1.0062,                 2.5343,                 1.0089,              0.0032993,              0.0032993,              0.0032993
                      2,                0.50729,                0.98099,                  1.084,                0.56217,                0.63624,                0.59514,                0.53641,                 1.0345,                 1.7273,                0.91624,              0.0066108,              0.0066108,              0.0066108
                      3,                0.57384,                0.90648,                 1.1079,                0.41542,                0.55943,                0.43176,                0.36718,                 1.3101,                 2.3395,                 1.1751,              0.0099002,              0.0099002,              0.0099002
                      4,                0.60909,                0.93775,                 1.1328,                0.75681,                0.40316,                0.38853,                 0.3653,                 1.2867,                 4.2381,                 1.1481,               0.009901,               0.009901,               0.009901
                      5,                0.55539,                 0.8375,                 1.1197,                0.52694,                0.55061,                0.54487,                 0.4557,                 1.2989,                  2.409,                 1.0794,               0.009901,               0.009901,               0.009901
                      6,                0.52792,                0.78649,                  1.102,                 0.3304,                0.61835,                0.46132,                0.33208,                 1.3557,                 2.1556,                 1.0595,               0.009868,               0.009868,               0.009868
                      7,                0.51244,                0.73978,                 1.0969,                0.57428,                0.60676,                0.57316,                0.42596,                 1.3315,                 1.6692,                 1.0776,               0.009835,               0.009835,               0.009835
                      8,                0.48546,                0.69592,                 1.0889,                0.58848,                0.65538,                0.59758,                0.45146,                 1.2783,                 1.6921,                 1.0423,               0.009802,               0.009802,               0.009802
                      9,                0.47387,                 0.6577,                 1.0808,                0.62158,                0.58474,                0.59075,                0.45066,                 1.3819,                 1.7531,                 1.0394,               0.009769,               0.009769,               0.009769
                     10,                0.46633,                0.64214,                 1.0695,                0.55769,                 0.6675,                0.59712,                0.45994,                  1.323,                 1.7542,                 1.0455,               0.009736,               0.009736,               0.009736
                     11,                0.46013,                0.61955,                 1.0743,                0.61489,                 0.6339,                0.63207,                0.46445,                 1.2914,                 1.7218,                 1.0437,               0.009703,               0.009703,               0.009703
                     12,                0.45116,                0.58395,                 1.0656,                0.66871,                0.65525,                0.64729,                0.47544,                 1.3307,                 1.9298,                 1.0927,                0.00967,                0.00967,                0.00967
                     13,                0.44158,                0.58683,                 1.0663,                0.65149,                 0.6509,                0.63052,                0.53997,                 1.1941,                  1.718,                0.93688,               0.009637,               0.009637,               0.009637
                     14,                0.44125,                0.56474,                 1.0667,                0.67681,                0.65786,                0.68446,                0.58025,                 1.2469,                 1.9594,                 1.0041,               0.009604,               0.009604,               0.009604
                     15,                0.43412,                0.55769,                 1.0523,                0.60143,                 0.6787,                0.65867,                0.53966,                  1.188,                 2.0483,                 0.9672,               0.009571,               0.009571,               0.009571
                     16,                0.42348,                0.53686,                 1.0631,                0.66673,                0.68437,                0.64143,                0.50738,                 1.2241,                  1.556,                0.95856,               0.009538,               0.009538,               0.009538
                     17,                0.41541,                0.53348,                  1.054,                0.68095,                0.69106,                0.67889,                0.57889,                 1.1458,                 1.9844,                0.94986,               0.009505,               0.009505,               0.009505
                     18,                0.41676,                0.52166,                 1.0533,                0.71931,                 0.6935,                0.69506,                0.55602,                 1.2001,                  1.627,                0.91045,               0.009472,               0.009472,               0.009472
                     19,                0.41227,                0.49968,                 1.0421,                0.55905,                0.67515,                0.68477,                0.59118,                 1.1407,                 2.3813,                0.95159,               0.009439,               0.009439,               0.009439
                     20,                0.41003,                0.50333,                 1.0515,                0.60752,                0.70744,                0.66253,                0.52586,                 1.2133,                 1.6072,                0.93034,               0.009406,               0.009406,               0.009406
                     21,                0.40563,                0.50395,                 1.0396,                0.75248,                0.68144,                0.70088,                0.49755,                 1.1922,                 1.5636,                 0.9516,               0.009373,               0.009373,               0.009373
                     22,                0.40113,                 0.4974,                 1.0415,                0.73009,                0.64651,                0.68548,                0.50846,                 1.1725,                 1.4758,                0.91892,                0.00934,                0.00934,                0.00934
                     23,                0.40477,                0.47933,                 1.0457,                0.74614,                0.70454,                0.70022,                0.54393,                 1.1748,                 1.5313,                0.94198,               0.009307,               0.009307,               0.009307
                     24,                0.39534,                0.49027,                 1.0394,                0.62942,                0.70767,                0.67173,                0.57017,                  1.144,                 1.9715,                0.93875,               0.009274,               0.009274,               0.009274
                     25,                0.39282,                0.47467,                 1.0404,                0.66465,                0.69426,                 0.6886,                0.54876,                 1.1394,                  1.641,                0.92593,               0.009241,               0.009241,               0.009241
                     26,                0.39053,                0.47321,                 1.0386,                0.73216,                0.69228,                0.70207,                0.54003,                 1.1744,                 1.4428,                 0.9272,               0.009208,               0.009208,               0.009208
                     27,                0.38838,                 0.4582,                 1.0417,                0.71785,                0.66763,                 0.6816,                0.53748,                 1.1313,                 1.8661,                0.90528,               0.009175,               0.009175,               0.009175
                     28,                0.38226,                0.46415,                 1.0362,                 0.7011,                0.71758,                0.71858,                0.56742,                 1.1552,                 1.6744,                0.93574,               0.009142,               0.009142,               0.009142
                     29,                0.38132,                0.45371,                 1.0315,                0.74505,                0.71376,                0.72744,                0.56747,                 1.1834,                 1.3893,                0.92408,               0.009109,               0.009109,               0.009109
                     30,                0.37716,                0.43399,                 1.0365,                0.77664,                0.70288,                0.72222,                 0.5313,                 1.1925,                 1.4489,                0.94829,               0.009076,               0.009076,               0.009076
                     31,                0.37877,                 0.4409,                 1.0289,                0.70945,                0.72936,                0.71475,                0.53633,                  1.151,                 1.4309,                0.92807,               0.009043,               0.009043,               0.009043
                     32,                 0.3785,                0.44857,                 1.0341,                0.73278,                0.72483,                0.71987,                0.59584,                 1.1446,                  1.649,                0.90414,                0.00901,                0.00901,                0.00901
                     33,                0.37951,                0.44382,                 1.0256,                0.71504,                0.71465,                 0.7236,                0.55772,                  1.172,                 1.6794,                 0.9219,               0.008977,               0.008977,               0.008977
